student_id,week,attendance,assignment,quiz,learning
STU-101,Week 1,78,78,77,75
STU-101,Week 2,80,79,78,77
STU-101,Week 3,81,81,79,78
STU-101,Week 4,83,82,81,80
STU-101,Week 5,84,84,82,81
STU-101,Week 6,86,85,83,83
STU-102,Week 1,72,71,72,71
STU-102,Week 2,74,72,73,73
STU-102,Week 3,75,74,74,74
STU-102,Week 4,77,75,76,76
STU-102,Week 5,78,77,77,77
STU-102,Week 6,80,78,78,79
STU-103,Week 1,66,65,69,64
STU-103,Week 2,68,66,70,66
STU-103,Week 3,69,68,71,67
STU-103,Week 4,71,69,73,69
STU-103,Week 5,72,71,74,70
STU-103,Week 6,74,72,75,72
STU-104,Week 1,61,60,60,57
STU-104,Week 2,63,61,61,59
STU-104,Week 3,64,63,62,60
STU-104,Week 4,66,64,64,62
STU-104,Week 5,67,66,65,63
STU-104,Week 6,69,67,66,65
STU-105,Week 1,55,54,58,50
STU-105,Week 2,57,55,59,52
STU-105,Week 3,58,57,60,53
STU-105,Week 4,60,58,62,55
STU-105,Week 5,61,60,63,56
STU-105,Week 6,63,61,64,58
STU-106,Week 1,52,48,52,45
STU-106,Week 2,54,49,53,47
STU-106,Week 3,55,51,54,48
STU-106,Week 4,57,52,56,50
STU-106,Week 5,58,54,57,51
STU-106,Week 6,60,55,58,53
STU-107,Week 1,47,47,46,41
STU-107,Week 2,49,48,47,43
STU-107,Week 3,50,50,48,44
STU-107,Week 4,52,51,50,46
STU-107,Week 5,53,53,51,47
STU-107,Week 6,55,54,52,49
STU-108,Week 1,82,76,69,75
STU-108,Week 2,80,74,67,72
STU-108,Week 3,77,72,65,70
STU-108,Week 4,75,70,64,67
STU-108,Week 5,72,68,62,65
STU-108,Week 6,70,66,60,62
STU-109,Week 1,76,68,64,69
STU-109,Week 2,74,66,62,66
STU-109,Week 3,71,64,60,64
STU-109,Week 4,69,62,59,61
STU-109,Week 5,66,60,57,59
STU-109,Week 6,64,58,55,56
STU-110,Week 1,71,64,59,64
STU-110,Week 2,69,62,57,61
STU-110,Week 3,66,60,55,59
STU-110,Week 4,64,58,54,56
STU-110,Week 5,61,56,52,54
STU-110,Week 6,59,54,50,51
STU-111,Week 1,75,73,78,70
STU-111,Week 2,77,74,79,72
STU-111,Week 3,78,76,80,73
STU-111,Week 4,80,77,82,75
STU-111,Week 5,81,79,83,76
STU-111,Week 6,83,80,84,78
STU-112,Week 1,69,69,66,64
STU-112,Week 2,71,70,67,66
STU-112,Week 3,72,72,68,67
STU-112,Week 4,74,73,70,69
STU-112,Week 5,75,75,71,70
STU-112,Week 6,77,76,72,72
STU-113,Week 1,100,95,94,97
STU-113,Week 2,100,93,92,94
STU-113,Week 3,98,91,90,92
STU-113,Week 4,96,89,89,89
STU-113,Week 5,93,87,87,87
STU-113,Week 6,91,85,85,84
STU-114,Week 1,97,90,85,90
STU-114,Week 2,95,88,83,87
STU-114,Week 3,92,86,81,85
STU-114,Week 4,90,84,80,82
STU-114,Week 5,87,82,78,80
STU-114,Week 6,85,80,76,77
STU-115,Week 1,90,84,79,86
STU-115,Week 2,88,82,77,83
STU-115,Week 3,85,80,75,81
STU-115,Week 4,83,78,74,78
STU-115,Week 5,80,76,72,76
STU-115,Week 6,78,74,70,73
STU-116,Week 1,84,78,73,77
STU-116,Week 2,82,76,71,74
STU-116,Week 3,79,74,69,72
STU-116,Week 4,77,72,68,69
STU-116,Week 5,74,70,66,67
STU-116,Week 6,72,68,64,64
STU-117,Week 1,78,70,66,71
STU-117,Week 2,76,68,64,68
STU-117,Week 3,73,66,62,66
STU-117,Week 4,71,64,61,63
STU-117,Week 5,68,62,59,61
STU-117,Week 6,66,60,57,58
STU-118,Week 1,66,59,54,60
STU-118,Week 2,64,57,52,57
STU-118,Week 3,61,55,50,55
STU-118,Week 4,59,53,49,52
STU-118,Week 5,56,51,47,50
STU-118,Week 6,54,49,45,47
